date (UTC),description,moneyIn (BTC),moneyOut (BTC),tx hash,current balance (BTC)
26/10/19 12:23,PAYMENT RECEIVED,1516.395326,0,f8add5010ced679ee8f4b5f3188c1e4d77240e53c641046fedf51b8702cdec06,173306.0036
27/10/19 0:23,PAYMENT RECEIVED,1365.630773,0,ff59da53003e949f4cde81978384a0a9b9529496b85b8606932a2f71a5fd2e1d,174671.6344
28/10/19 10:49,PAYMENT RECEIVED,1010.565785,0,bb694c40489655b08ecc217e257485b43eb36b600015738297d4874d6a922f1b,175682.2002
29/10/19 2:24,PAYMENT RECEIVED,1061.667189,0,4a76e6cdb70759dffe9c69ef19d81fbe698e08e645047cc5f3824c33a1f6a6a7,176743.8674
29/10/19 16:58,PAYMENT RECEIVED,1774.114698,0,7adeb3e4813e371e1b2cdc05e4c7a33325d9a6014f6183a9a5d5e4a37b9a78b8,178517.9821
31/10/19 12:25,PAYMENT RECEIVED,1.60E-05,0,ab7a6934a68ec179fb84b71be10692a654c66a85f55c633e2003f52bf1784fb0,178517.9821
22/10/19 16:31,PAYMENT RECEIVED,1293.223559,0,54921d51bc52dd3dfd4b51248ee8a42e91fb56de6c1f951fbfa629f6c7bb1229,166259.1305
22/10/19 16:18,PAYMENT RECEIVED,1301.651067,0,cffb03fbffeb5cdc5ace78a06db7b426dde30293393d841e277bc0c95c7cc2ae,164965.9069
2/10/19 15:13,PAYMENT RECEIVED,0.9,0,b7a5b50d728625223806cad2d1bd0264b87e5c926c720d16d3f33798331cb809,158833.2438
3/10/19 16:08,PAYMENT RECEIVED,1499.791701,0,ccb2a1f44faa103c9883c5c769eb73ec03468361e6b98bfef8374f6b1c61af83,160333.0355
4/10/19 7:08,PAYMENT RECEIVED,6.20E-05,0,35960f9e2e2c2dcf32c430e7841e6e1def2558c64f39387a760733047876f363,160333.0356
8/10/19 18:26,PAYMENT RECEIVED,1035.897987,0,75acd02778cf5a9c0ab25d27d26cc89ad4b8bffe3b95e00764a8b3a23e18f6d1,161368.9335
10/10/19 0:59,PAYMENT RECEIVED,1075.130994,0,d2a0c9e941ce4ece9b74f59a4698708647a438d203c0780d03f3acdfe7c3eb2f,162444.0645
10/10/19 3:10,PAYMENT RECEIVED,1.42E-05,0,f9dfbad2827023d3351bd319989e91c95a8164694105b9cdf707f511b1e540f0,162444.0645
10/10/19 11:21,PAYMENT RECEIVED,1220.187677,0,945eab65aa930b70470f3462a231909029da21117fb464c29fe6763a3c863440,163664.2522
10/10/19 12:46,PAYMENT RECEIVED,0.00084182,0,c1e40c2dbec7c16e2b6f288ab72edd440ec573e6053f58c57eac0a677a5d5e27,163664.2531
14/10/19 2:59,PAYMENT RECEIVED,0.0001,0,76d87ed07c0ab444fe6ae5040d54c4bdf5abf9d5b44528a45fac486a2105ba35,163664.2532
21/10/19 14:44,PAYMENT RECEIVED,0.00266947,0,c4abe25b029293ff9738e7a12f9b45863fcdab1ff0603dc923bbba397bf24e56,163664.2558
31/10/19 18:36,PAYMENT RECEIVED,1324.468342,0,9f16707a4e6bb48864b95435fdae490cacdb9af665a22d0f48c436863c61fbed,179842.4504
1/9/19 17:09,PAYMENT RECEIVED,9.00E-06,0,b1647aebd61d00231e044239df6a07574464d9a04cb30f253baebaeb27ed3ea0,163230.5287
20/9/19 9:52,PAYMENT RECEIVED,9.86E-05,0,aac1793840129d1501e36a1d599848eef40afe7fb462b3e9423578cfad269f2c,151991.9475
22/9/19 15:22,PAYMENT RECEIVED,0.00010007,0,bc54c83767ea821b4867ff72a5aea0936b5ec642fd19b04e098bc18fdd68e291,151991.9476
22/9/19 17:24,PAYMENT RECEIVED,0.0001,0,b218b0f8f7d016aa7330f259b13044a442427f01d9c987c9aded47533ca216d6,151991.9477
24/9/19 21:06,PAYMENT RECEIVED,1169.81937,0,a6cd7070672fbdcd0eea296388e8713c5b3fb6b14ce188d3197806a933e43a28,153161.7671
24/9/19 22:35,PAYMENT RECEIVED,1264.795132,0,0d34aa0f55508c8654257a3a8c511244dd27a7e846568c4bf557783f54690f11,154426.5622
24/9/19 22:35,PAYMENT RECEIVED,2000,0,3c130dcd5a427664af601108ffd058076fbfc30a2d17407f9b368e1457286c38,156426.5622
